Date,Cured,Deaths,Confirmed
30-01-2020,0,0,1
31-01-2020,0,0,1
01-02-2020,0,0,2
02-02-2020,0,0,3
03-02-2020,0,0,3
04-02-2020,0,0,3
05-02-2020,0,0,3
06-02-2020,0,0,3
07-02-2020,0,0,3
08-02-2020,0,0,3
09-02-2020,0,0,3
10-02-2020,0,0,3
11-02-2020,0,0,3
12-02-2020,0,0,3
13-02-2020,0,0,3
14-02-2020,0,0,3
15-02-2020,0,0,3
16-02-2020,0,0,3
17-02-2020,0,0,3
18-02-2020,0,0,3
19-02-2020,0,0,3
20-02-2020,0,0,3
21-02-2020,0,0,3
22-02-2020,0,0,3
23-02-2020,0,0,3
24-02-2020,0,0,3
25-02-2020,0,0,3
26-02-2020,0,0,3
27-02-2020,0,0,3
28-02-2020,0,0,3
29-02-2020,0,0,3
01-03-2020,0,0,3
02-03-2020,0,0,5
03-03-2020,3,0,6
04-03-2020,3,0,28
05-03-2020,3,0,30
06-03-2020,3,0,31
07-03-2020,3,0,34
08-03-2020,3,0,39
09-03-2020,3,0,46
10-03-2020,3,0,58
11-03-2020,3,0,60
12-03-2020,3,0,74
13-03-2020,3,1,81
14-03-2020,10,2,84
15-03-2020,13,2,110
16-03-2020,13,2,114
17-03-2020,14,3,137
18-03-2020,14,3,151
19-03-2020,20,4,173
20-03-2020,23,4,206
21-03-2020,23,4,283
22-03-2020,24,7,360
23-03-2020,15,7,433
24-03-2020,40,9,519
25-03-2020,43,10,605
26-03-2020,45,15,694
27-03-2020,67,17,724
28-03-2020,80,19,909
29-03-2020,96,27,1024
30-03-2020,102,31,1251
31-03-2020,124,35,1397
01-04-2020,144,41,1834
02-04-2020,156,53,2069
03-04-2020,163,62,2547
04-04-2020,213,75,3072
05-04-2020,275,83,3577
06-04-2020,319,109,4281
07-04-2020,353,124,4789
08-04-2020,411,149,5274
09-04-2020,478,169,5865
10-04-2020,516,206,6761
11-04-2020,653,242,7529
12-04-2020,765,273,8447
13-04-2020,980,324,9352
14-04-2020,1190,353,10815
15-04-2020,1344,392,11933
16-04-2020,1515,420,12759
17-04-2020,1767,452,13835
18-04-2020,2015,488,14792
19-04-2020,2302,519,16116
20-04-2020,2842,559,17656
21-04-2020,3260,603,18985
22-04-2020,3960,652,20471
23-04-2020,4325,686,21700
24-04-2020,4814,723,23452
25-04-2020,5210,779,24893
26-04-2020,5914,826,26605
27-04-2020,6362,886,28160
28-04-2020,7027,937,29834
29-04-2020,7797,1008,31709
30-04-2020,8373,1075,33330
01-05-2020,9065,1152,34972
02-05-2020,9951,1218,37157
03-05-2020,10887,1306,40124
04-05-2020,11762,1389,42836
05-05-2020,13161,1583,46711
06-05-2020,14183,1694,49391
07-05-2020,15267,1783,52952
08-05-2020,16540,1886,56342
09-05-2020,17847,1981,59662
10-05-2020,19358,2109,62939
11-05-2020,20917,2206,67152
