Date,Confirmed,Deaths,Recovered
26-01-2020,3,0,0
31-01-2020,2,0,0
12-02-2020,2,0,2
02-03-2020,1,0,0
05-03-2020,1,0,0
06-03-2020,9,0,3
07-03-2020,10,0,1
08-03-2020,4,0,0
09-03-2020,8,0,1
11-03-2020,18,0,1
12-03-2020,21,0,1
13-03-2020,35,0,1
14-03-2020,49,0,1
15-03-2020,11,0,1
16-03-2020,78,0,3
17-03-2020,90,0,2
18-03-2020,88,0,1
19-03-2020,174,0,12
20-03-2020,197,0,10
21-03-2020,246,0,13
22-03-2020,204,0,8
23-03-2020,297,0,11
24-03-2020,408,0,21
25-03-2020,536,0,20
26-03-2020,726,2,29
27-03-2020,861,3,33
28-03-2020,1162,3,49
29-03-2020,1404,11,59
30-03-2020,1622,12,65
31-03-2020,2136,18,117
01-04-2020,2644,24,189
02-04-2020,3322,26,218
03-04-2020,3854,31,258
04-04-2020,4287,38,280
05-04-2020,4786,37,292
06-04-2020,6120,49,400
07-04-2020,7167,60,460
08-04-2020,8335,62,557
09-04-2020,9746,77,655
10-04-2020,11492,90,724
11-04-2020,13098,100,1020
12-04-2020,15148,124,1220
13-04-2020,17687,141,1395
14-04-2020,20193,162,1615
15-04-2020,23985,197,1944
16-04-2020,27876,234,2298
17-04-2020,31897,273,2587
18-04-2020,36763,313,3051
19-04-2020,42875,360,3291
20-04-2020,46860,405,3397
21-04-2020,52089,446,3793
22-04-2020,57427,503,4352
23-04-2020,62840,556,4896
24-04-2020,68604,613,5553
25-04-2020,74476,680,6186
26-04-2020,80808,743,6730
27-04-2020,87135,790,7326
28-04-2020,93602,868,8489
29-04-2020,99606,976,10299
30-04-2020,106601,1076,11623
01-05-2020,114532,1168,13282
02-05-2020,123306,1220,14938
03-05-2020,134877,1285,16676
04-05-2020,144600,1348,17977
05-05-2020,155518,1455,19922
06-05-2020,165822,1540,21279
07-05-2020,176233,1614,23636
08-05-2020,188005,1726,26665
09-05-2020,198032,1827,31804
10-05-2020,209880,1919,34342
11-05-2020,219392,2003,39289
12-05-2020,232213,2119,43522
13-05-2020,242430,2219,48119
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
